trial,weeks,pubID,cottrell_focused_v_common_score,is_spr
G003,8,G003-210,3.0,True
G003,8,G003-210,2.0,True
G003,8,G003-210,3.0,True
G003,8,G003-210,2.0,True
G003,8,G003-210,3.0,True
G003,8,G003-210,3.0,True
G003,8,G003-210,2.0,True
G003,8,G003-210,2.0,True
G003,8,G003-210,1.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,3.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,4.0,False
G003,8,G003-210,3.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,3.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,3.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,0.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,3.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,3.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,1.0,False
G003,8,G003-210,3.0,False
G003,8,G003-210,3.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,2.0,False
G003,8,G003-210,2.0,False
G003,8,G003-243,3.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,4.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,4.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,4.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,3.0,True
G003,8,G003-243,4.0,True
G003,8,G003-243,0.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,3.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,4.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,0.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,2.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,0.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,1.0,False
G003,8,G003-243,3.0,False
G003,8,G003-243,3.0,False
G003,8,G003-243,2.0,False
G003,8,G003-243,0.0,False
G003,8,G003-291,0.0,True
G003,8,G003-291,0.0,True
G003,8,G003-291,3.0,True
G003,8,G003-291,3.0,True
G003,8,G003-291,0.0,True
G003,8,G003-291,0.0,True
G003,8,G003-291,0.0,True
G003,8,G003-291,0.0,True
G003,8,G003-291,3.0,True
G003,8,G003-291,3.0,True
G003,8,G003-291,0.0,True
G003,8,G003-291,0.0,True
G003,8,G003-291,3.0,True
G003,8,G003-291,1.0,False
G003,8,G003-291,2.0,False
G003,8,G003-291,1.0,False
G003,8,G003-291,2.0,False
G003,8,G003-291,1.0,False
G003,8,G003-291,0.0,False
G003,8,G003-291,0.0,False
G003,8,G003-291,2.0,False
G003,8,G003-291,2.0,False
G003,8,G003-291,3.0,False
G003,8,G003-291,1.0,False
G003,8,G003-291,3.0,False
G003,8,G003-396,2.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,0.0,True
G003,8,G003-396,0.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,0.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,0.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,2.0,True
G003,8,G003-396,0.0,True
G003,8,G003-396,0.0,True
G003,8,G003-396,0.0,False
G003,8,G003-396,4.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,3.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,3.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,3.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,3.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,3.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,0.0,False
G003,8,G003-396,2.0,False
G003,8,G003-396,1.0,False
G003,8,G003-396,1.0,False
G003,8,G003-434,0.0,True
G003,8,G003-434,0.0,True
G003,8,G003-434,1.0,True
G003,8,G003-434,0.0,True
G003,8,G003-434,1.0,True
G003,8,G003-434,0.0,True
G003,8,G003-434,1.0,True
G003,8,G003-434,0.0,True
G003,8,G003-434,0.0,True
G003,8,G003-434,1.0,True
G003,8,G003-434,1.0,True
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,4.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,4.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,4.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,4.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,1.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,3.0,False
G003,8,G003-434,2.0,False
G003,8,G003-434,0.0,False
G003,8,G003-434,1.0,False
G003,8,G003-516,0.0,True
G003,8,G003-516,0.0,True
G003,8,G003-516,2.0,True
G003,8,G003-516,2.0,True
G003,8,G003-516,0.0,True
G003,8,G003-516,2.0,True
G003,8,G003-516,0.0,True
G003,8,G003-516,2.0,True
G003,8,G003-516,0.0,True
G003,8,G003-516,0.0,True
G003,8,G003-516,2.0,True
G003,8,G003-516,2.0,True
G003,8,G003-516,2.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,3.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,3.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,4.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,3.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,2.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,4.0,False
G003,8,G003-516,1.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,0.0,False
G003,8,G003-516,3.0,False
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,True
G003,8,G003-550,1.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,3.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,3.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,3.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,3.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,3.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,0.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,2.0,False
G003,8,G003-550,1.0,False
G003,8,G003-550,1.0,False
G003,8,G003-611,3.0,True
G003,8,G003-611,3.0,True
G003,8,G003-611,1.0,True
G003,8,G003-611,3.0,True
G003,8,G003-611,3.0,True
G003,8,G003-611,1.0,True
G003,8,G003-611,3.0,True
G003,8,G003-611,3.0,True
G003,8,G003-611,1.0,True
G003,8,G003-611,3.0,True
G003,8,G003-611,3.0,True
G003,8,G003-611,1.0,True
G003,8,G003-611,1.0,True
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,3.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,3.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,3.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,3.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,2.0,False
G003,8,G003-611,4.0,False
G003,8,G003-611,0.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,1.0,False
G003,8,G003-611,3.0,False
G003,8,G003-622,1.0,True
G003,8,G003-622,1.0,True
G003,8,G003-622,3.0,True
G003,8,G003-622,1.0,True
G003,8,G003-622,1.0,True
G003,8,G003-622,3.0,True
G003,8,G003-622,1.0,True
G003,8,G003-622,1.0,True
G003,8,G003-622,3.0,True
G003,8,G003-622,1.0,True
G003,8,G003-622,1.0,True
G003,8,G003-622,1.0,True
G003,8,G003-622,3.0,True
G003,8,G003-622,3.0,True
G003,8,G003-622,3.0,False
G003,8,G003-622,2.0,False
G003,8,G003-622,3.0,False
G003,8,G003-622,3.0,False
G003,8,G003-622,0.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,2.0,False
G003,8,G003-622,2.0,False
G003,8,G003-622,4.0,False
G003,8,G003-622,2.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,4.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,0.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,4.0,False
G003,8,G003-622,3.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,1.0,False
G003,8,G003-622,0.0,False
